epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,1260.46,0.56421,0.81769,0.40532,0.99444,0,1,0.99847,0.995,0.8258,1,0.99847,0.995,0.83084,0.5519,0.47465,0.35116,1.04888,0,0.0003566,0.0003566,0.0003566
85,1273.35,0.54856,0.79047,0.38748,0.99692,0,0.99993,1,0.995,0.84378,0.99993,1,0.995,0.83351,0.49936,0.48197,0.34605,1.02769,0,0.0003368,0.0003368,0.0003368
86,1285.9,0.53413,0.75786,0.3725,0.98874,0,1,0.99867,0.995,0.84392,1,0.99867,0.995,0.82339,0.49439,0.48662,0.34592,1.03451,0,0.000317,0.000317,0.000317
87,1299.53,0.55902,0.85855,0.38072,1.00147,0,1,0.99906,0.995,0.8505,1,0.99906,0.995,0.83487,0.48283,0.4656,0.34935,1.02364,0,0.0002972,0.0002972,0.0002972
88,1312.94,0.5487,0.78555,0.37335,0.99739,0,1,0.99818,0.995,0.84634,1,0.99818,0.995,0.83122,0.52421,0.48389,0.34027,1.04461,0,0.0002774,0.0002774,0.0002774
89,1325.61,0.55408,0.76697,0.3717,0.99637,0,1,0.99907,0.995,0.84182,1,0.99907,0.995,0.83239,0.52866,0.47053,0.33507,1.05937,0,0.0002576,0.0002576,0.0002576
90,1338.43,0.54779,0.77745,0.39201,0.99473,0,1,0.99908,0.995,0.83197,1,0.99908,0.995,0.83184,0.56129,0.48056,0.34224,1.09874,0,0.0002378,0.0002378,0.0002378
91,1350,0.44045,0.58663,0.32683,0.99198,0,0.99845,1,0.995,0.84282,0.99845,1,0.995,0.82134,0.53904,0.46755,0.34522,1.08682,0,0.000218,0.000218,0.000218
92,1361.62,0.43798,0.54054,0.3158,0.97013,0,0.99835,1,0.995,0.85809,0.99835,1,0.995,0.84465,0.49912,0.43017,0.35197,1.0347,0,0.0001982,0.0001982,0.0001982
93,1374.04,0.41848,0.54636,0.29259,0.97028,0,0.99807,1,0.995,0.86107,0.99807,1,0.995,0.84304,0.47706,0.41469,0.32393,1.00938,0,0.0001784,0.0001784,0.0001784
94,1385.91,0.40541,0.51704,0.29817,0.94071,0,0.99825,1,0.995,0.85173,0.99825,1,0.995,0.8386,0.46729,0.4076,0.30935,1.00454,0,0.0001586,0.0001586,0.0001586
95,1397.38,0.41907,0.5301,0.29487,0.9728,0,0.99858,1,0.995,0.87147,0.99858,1,0.995,0.85791,0.46716,0.43677,0.31083,1.00132,0,0.0001388,0.0001388,0.0001388
96,1408.13,0.3751,0.51134,0.28015,0.92086,0,0.99852,1,0.995,0.8732,0.99852,1,0.995,0.85085,0.46028,0.47703,0.30831,1.00152,0,0.000119,0.000119,0.000119
97,1419.59,0.36796,0.48978,0.26347,0.93178,0,0.99852,1,0.995,0.88044,0.99852,1,0.995,0.84987,0.46938,0.46814,0.3201,1.00946,0,9.92e-05,9.92e-05,9.92e-05
98,1430.97,0.36568,0.49737,0.26627,0.93,0,0.99851,1,0.995,0.87277,0.99851,1,0.995,0.84248,0.45883,0.46499,0.31972,1.00554,0,7.94e-05,7.94e-05,7.94e-05
99,1443.11,0.37469,0.48855,0.26883,0.9206,0,0.99845,1,0.995,0.87231,0.99845,1,0.995,0.84757,0.44738,0.47776,0.32874,1.0014,0,5.96e-05,5.96e-05,5.96e-05
100,1454.38,0.38164,0.49644,0.27153,0.95015,0,0.99839,1,0.995,0.865,0.99839,1,0.995,0.84489,0.45385,0.48415,0.33062,1.00703,0,3.98e-05,3.98e-05,3.98e-05
